id,type,text1,text2,text3,notes
ETC_thunderstormsrm_S,WEAPON,"小巧紧凑的雷雨SRM发射装置，配合自动的高速填装器与较大的载弹 量，这种武器可以连续对敌方护盾进行多次致命打击。

与赛博的二级弹头不同，雷雨SRM包裹在弹头内部的是一种被称作""冲击栓""的复合物弹体，这种弹体的工艺要求虽然要比一般的高密度金属弹头高出许多，但是原料成本却相对的要低，后续维护也简单轻松得多，但其中一个缺点是由于""冲击栓""本身的一些性质，它在成型后并不能像赛博那样将数个弹头放在一起，否则将会造成破坏力的下降。",突击,,
ETC_thunderstormsrm_M,WEAPON,"双联的雷雨SRM发射舱，并在原来的基础上进一步改进了填装结构， 还配备了一个尽可能大的弹舱。

与赛博的二级弹头不同，雷雨SRM包裹在弹头内部的是一种被称作""冲击栓""的复合物弹体，这种弹体的工艺要求虽然要比一般的高密度金属弹头高出许多，但是原料成本却相对的要低，后续维护也简单轻松得多，但其中一个缺点是由于""冲击栓""本身的一些性质，它在成型后并不能像赛博那样将数个弹头放在一起，否则将会造成破坏力的下降。",突击,,
ETC_buildermk4,WEAPON,作为粒子重构器的强化版本，构造者MK.IV可以更迅速地击溃星域中 能见到的大多数护盾，并且提升了一点对付轻型装甲时的效果，但校 准器受到的干扰变得更严重了。,火力支援,,
ETC_l2pdl,WEAPON,"内置的大容量电容需要过长的时间充能，同样的，单次发射造成的伤 害十分之高，甚至能威胁到护卫舰，不过最好还是看看舰船的散幅能 力支不支持。
L2版本适合拦截坚硬又危险的发射物。",点防御,,
ETC_crystal3,WEAPON,"多次改进升级之后呈现的大型炮管，意味着这种武器能够轻松摧毁绝 大部分你能看到的东西。

为了弥补该系列武器随着体积增大而急剧下降的精准度，在以经济性为前提下IX型号 选择减小其仰角，并将改动后腾出来的空间加入了一些制动装置来达成效果。",突击,,
ETC_halom_L,WEAPON,"这种发射舱拥有较大的载弹量，能在短时间内发射多发导弹，同时能 缓慢地再生导弹。

光晕MRM是一种配备了小当量等离子战斗部的轻型导弹，这种导弹凭借着良好的机 动性与不俗的伤害，还有易于存放的体积赢得了很多舰长的青睐。",火力支援,,
ETC_l1pdl,WEAPON,"多组小型电容器的安装使其能够快速频繁的发射，但威力与射程同时 受到了限制。
L1版本适合拦截脆弱且密集的弹幕。

小行星激光钻机的试作型，因不明原因被武器化。",点防御,,
ETC_purifier,WEAPON,内置在氦-级战列舰上的非常规粒子武器，依靠着一个大型粒子加速 器，由一些发生装置产生的物质将导入腔室内形成一团非常危险的弹 丸并被发射出去，并且在击中目标后发生的一系列变化将直接促使残 余物质发生一次小型的核聚变，其后额外产生的高温等离子体继续对 周遭物体造成严重的损伤。 ,突击,,
ETC_halom_M,WEAPON,"发射架上搭载的光晕导弹是一种通用性非常强的中程导弹，无论面对 的是护盾或是装甲都能进行有效输出。

光晕MRM是一种配备了小当量等离子战斗部的轻型导弹，这种导弹凭借着良好的机 动性与不俗的伤害，还有易于存放的体积赢得了很多舰长的青睐。",火力支援,,
ETC_halom_S,WEAPON,"小型化的光晕MRM发射装置。

光晕MRM是一种配备了小当量等离子战斗部的轻型导弹，这种导弹凭借着良好的机 动性与不俗的伤害，还有易于存放的体积赢得了很多舰长的青睐。",火力支援,,
